"11re -- Väestö iän (1-v.) ja sukupuolen mukaan alueittain, 1972-2019"

"Alue","Ikä","Sukupuoli","2005 Väestö 31.12.","2006 Väestö 31.12.","2007 Väestö 31.12.","2008 Väestö 31.12.","2009 Väestö 31.12.","2010 Väestö 31.12.","2011 Väestö 31.12.","2012 Väestö 31.12.","2013 Väestö 31.12.","2014 Väestö 31.12.","2015 Väestö 31.12.","2016 Väestö 31.12.","2017 Väestö 31.12.","2018 Väestö 31.12.","2019 Väestö 31.12."
"Akaa","Yhteensä","Miehet",8119,8176,8229,8289,8311,8413,8461,8489,8509,8477,8490,8446,8390,8331,8263
"Akaa","Yhteensä","Naiset",8303,8410,8509,8548,8547,8599,8630,8645,8599,8575,8553,8477,8379,8280,8212
"Alajärvi","Yhteensä","Miehet",5459,5397,5373,5347,5306,5246,5175,5156,5152,5102,5033,4993,4948,4905,4846
"Alajärvi","Yhteensä","Naiset",5451,5371,5325,5287,5267,5241,5152,5112,5075,5069,4973,4906,4883,4795,4716
"Alavieska","Yhteensä","Miehet",1453,1440,1432,1415,1421,1408,1414,1433,1416,1400,1402,1376,1369,1351,1329
"Alavieska","Yhteensä","Naiset",1401,1387,1385,1344,1355,1362,1336,1328,1324,1287,1285,1263,1241,1222,1190
"Alavus","Yhteensä","Miehet",6423,6393,6370,6348,6303,6231,6206,6181,6141,6102,6074,6002,5909,5821,5818
"Alavus","Yhteensä","Naiset",6445,6398,6418,6358,6283,6208,6179,6160,6087,6001,5970,5905,5804,5723,5650
"Asikkala","Yhteensä","Miehet",4237,4248,4290,4263,4218,4224,4217,4200,4168,4155,4129,4156,4110,4071,4022
"Asikkala","Yhteensä","Naiset",4323,4349,4373,4341,4333,4328,4281,4261,4237,4219,4158,4167,4138,4078,4061
"Askola","Yhteensä","Miehet",2283,2323,2361,2393,2434,2455,2482,2505,2518,2549,2565,2530,2519,2519,2496
"Askola","Yhteensä","Naiset",2272,2304,2350,2368,2397,2409,2429,2483,2473,2515,2539,2516,2471,2439,2447
"Aura","Yhteensä","Miehet",1826,1850,1880,1893,1894,1932,1946,1953,1944,1957,1951,1948,1945,1934,1910
"Aura","Yhteensä","Naiset",1873,1900,1943,1959,1946,1979,2029,2018,2018,2025,2035,2036,2046,2050,2031
"Brändö","Yhteensä","Miehet",276,285,280,287,272,266,260,263,259,263,261,259,245,240,237
"Brändö","Yhteensä","Naiset",243,235,230,231,226,222,220,213,216,211,209,212,207,209,208
"Eckerö","Yhteensä","Miehet",461,466,459,466,476,487,506,502,498,497,495,482,489,496,498
"Eckerö","Yhteensä","Naiset",464,463,464,455,448,456,472,458,449,435,440,446,459,465,454
"Enonkoski","Yhteensä","Miehet",866,853,851,831,813,812,791,780,773,771,764,743,731,722,705
"Enonkoski","Yhteensä","Naiset",847,843,826,820,804,803,775,752,749,732,709,710,685,683,656
"Enontekiö","Yhteensä","Miehet",1061,1064,1049,1030,1007,995,1006,1006,1011,1009,987,988,999,976,969
"Enontekiö","Yhteensä","Naiset",939,933,916,885,875,881,887,874,880,881,874,884,894,876,869
"Espoo","Yhteensä","Miehet",113427,115234,116949,118918,120381,122287,124542,126856,128937,131429,133648,136237,138553,141016,144163
"Espoo","Yhteensä","Naiset",118277,119785,121098,122647,123949,125683,127897,129968,131816,134114,136154,138346,140491,142616,145568
"Eura","Yhteensä","Miehet",6398,6369,6309,6253,6236,6226,6192,6165,6150,6128,6093,6010,5961,5885,5865
"Eura","Yhteensä","Naiset",6409,6400,6367,6323,6318,6281,6232,6241,6218,6186,6035,5994,5949,5863,5767
"Eurajoki","Yhteensä","Miehet",4593,4630,4614,4624,4645,4654,4642,4684,4684,4689,4680,4824,4946,4858,4818
"Eurajoki","Yhteensä","Naiset",4566,4550,4561,4564,4544,4591,4555,4598,4602,4605,4607,4594,4575,4596,4584
"Evijärvi","Yhteensä","Miehet",1492,1464,1450,1431,1431,1417,1426,1398,1398,1383,1340,1315,1294,1269,1238
"Evijärvi","Yhteensä","Naiset",1424,1390,1377,1349,1341,1338,1321,1288,1287,1268,1236,1220,1205,1204,1187
"Finström","Yhteensä","Miehet",1216,1226,1230,1231,1226,1228,1258,1243,1236,1257,1249,1281,1290,1285,1294
"Finström","Yhteensä","Naiset",1225,1238,1227,1252,1260,1274,1269,1288,1284,1278,1273,1313,1290,1303,1299
"Forssa","Yhteensä","Miehet",8677,8677,8629,8644,8621,8675,8619,8554,8546,8465,8428,8403,8361,8285,8217
"Forssa","Yhteensä","Naiset",9241,9217,9206,9226,9186,9229,9214,9173,9121,9056,8994,8929,8824,8743,8684
"Föglö","Yhteensä","Miehet",311,302,304,297,291,299,298,302,303,297,290,290,276,280,277
"Föglö","Yhteensä","Naiset",285,281,278,279,270,281,279,276,269,271,264,271,256,254,254
"Geta","Yhteensä","Miehet",224,225,218,231,233,244,260,262,258,254,255,256,256,260,250
"Geta","Yhteensä","Naiset",220,223,225,225,224,231,232,233,242,240,245,243,239,254,246
"Haapajärvi","Yhteensä","Miehet",3977,3971,3968,3929,3893,3860,3853,3884,3878,3816,3805,3740,3698,3646,3569
"Haapajärvi","Yhteensä","Naiset",3905,3877,3882,3842,3821,3779,3756,3757,3738,3663,3633,3592,3553,3501,3441
"Haapavesi","Yhteensä","Miehet",3946,3865,3863,3861,3813,3817,3810,3727,3703,3670,3667,3627,3566,3493,3435
"Haapavesi","Yhteensä","Naiset",3734,3664,3652,3632,3583,3601,3574,3556,3538,3505,3500,3471,3404,3361,3323
"Hailuoto","Yhteensä","Miehet",510,525,519,543,538,528,520,512,522,518,511,512,502,502,491
"Hailuoto","Yhteensä","Naiset",454,473,468,485,481,476,484,474,477,479,482,482,465,472,468
"Halsua","Yhteensä","Miehet",740,723,714,697,682,677,666,647,637,630,629,628,596,596,585
"Halsua","Yhteensä","Naiset",701,682,665,654,641,612,609,601,592,592,596,591,575,569,542
"Hamina","Yhteensä","Miehet",10838,10786,10727,10649,10633,10586,10574,10503,10492,10420,10322,10241,10172,10075,10017
