"116g -- Rakennukset käyttötarkoituksen ja valmistumisvuoden mukaan, 2019"

"Valmistumisvuosi","Alue","Vuosi","Rakennuksen kerrosala (m2) Erilliset pientalot","Rakennuksen kerrosala (m2) Rivi- ja ketjutalot","Rakennuksen kerrosala (m2) Asuinkerrostalot","Rakennuksen kerrosala (m2) Liikerakennukset","Rakennuksen kerrosala (m2) Toimistorakennukset","Rakennuksen kerrosala (m2) Liikenteen rakennukset","Rakennuksen kerrosala (m2) Hoitoalan rakennukset","Rakennuksen kerrosala (m2) Kokoontumisrakennukset","Rakennuksen kerrosala (m2) Opetusrakennukset","Rakennuksen kerrosala (m2) Teollisuusrakennukset","Rakennuksen kerrosala (m2) Varastorakennukset","Rakennuksen kerrosala (m2) Muut rakennukset"
"- 1920","Akaa","2019",44182,0,1697,715,476,375,0,3061,2570,20105,2714,1856
"- 1920","Alajärvi","2019",14493,0,0,829,0,145,0,1126,3516,0,0,900
"- 1920","Alavieska","2019",6109,0,0,0,0,0,0,0,0,0,0,0
"- 1920","Alavus","2019",45609,669,560,1920,865,401,0,1643,1462,4177,628,0
"- 1920","Asikkala","2019",24517,0,0,922,160,0,0,1319,0,16995,0,0
"- 1920","Askola","2019",17291,0,0,463,267,72,0,939,947,0,210,0
"- 1920","Aura","2019",12026,473,692,529,538,0,895,535,268,350,3250,0
"- 1920","Brändö","2019",5407,0,0,392,0,0,0,0,0,0,0,0
"- 1920","Eckerö","2019",7568,0,0,743,330,0,0,350,0,100,0,0
"- 1920","Enonkoski","2019",7799,0,0,966,0,0,0,896,0,0,0,0
"- 1920","Enontekiö","2019",222,0,0,30,0,0,0,0,0,0,0,0
"- 1920","Espoo","2019",65012,666,1552,7105,5182,799,3882,10229,2879,416,927,1912
"- 1920","Eura","2019",63835,1258,1246,2033,270,620,223,10239,1622,97699,43629,314
"- 1920","Eurajoki","2019",56526,0,0,1761,718,283,0,2018,1269,100,130,75
"- 1920","Evijärvi","2019",5549,0,130,733,0,596,0,0,0,1025,250,284
"- 1920","Finström","2019",18403,0,0,0,135,0,0,160,764,1291,56,0
"- 1920","Forssa","2019",36637,336,3555,7167,1047,378,292,3289,6615,21722,3319,80
