"116h -- Rakennukset (lkm, m2) käyttötarkoituksen ja lämmitysaineen mukaan, 2019"

"Rakennuksen lämmitysaine","Alue","Vuosi","Rakennuksen kerrosala (m2) Yhteensä","Rakennuksen kerrosala (m2) Erilliset pientalot","Rakennuksen kerrosala (m2) Rivi- ja ketjutalot","Rakennuksen kerrosala (m2) Asuinkerrostalot","Rakennuksen kerrosala (m2) Liikerakennukset","Rakennuksen kerrosala (m2) Toimistorakennukset","Rakennuksen kerrosala (m2) Liikenteen rakennukset","Rakennuksen kerrosala (m2) Hoitoalan rakennukset","Rakennuksen kerrosala (m2) Kokoontumisrakennukset","Rakennuksen kerrosala (m2) Opetusrakennukset","Rakennuksen kerrosala (m2) Teollisuusrakennukset","Rakennuksen kerrosala (m2) Varastorakennukset","Rakennuksen kerrosala (m2) Muut rakennukset"
"Yhteensä","KOKO MAA","2019",494625956,167797494,35337890,104376205,31972096,19699390,14546593,13317036,10686985,19532796,52525076,22795016,2039379
"Yhteensä","Akaa","2019",1468522,649878,97094,158553,64383,23347,18883,34591,20732,33166,269373,83983,14539
"Yhteensä","Alajärvi","2019",971225,536015,56068,20364,65712,17934,25415,15024,31673,21221,138366,39075,4358
"Yhteensä","Alavieska","2019",224676,136048,19563,1907,3035,2439,11357,6620,4560,10589,20033,7811,714
"Yhteensä","Alavus","2019",1237139,579532,88262,53031,141543,23462,32167,39399,28935,31555,155434,58603,5216
"Yhteensä","Asikkala","2019",834072,441843,62327,71429,52898,7677,18835,10320,20348,21607,72425,52185,2178
"Yhteensä","Askola","2019",412723,263723,27587,2428,12448,3360,15707,5636,4925,15770,30462,27379,3298
"Yhteensä","Aura","2019",336967,180594,39589,5952,15719,1906,14079,7477,3383,9758,41393,13597,3520
"Yhteensä","Brändö","2019",48008,31385,4286,0,4688,243,1524,649,1021,100,2867,1042,203
"Yhteensä","Eckerö","2019",125194,63347,1302,1807,13926,330,8220,2407,12779,716,16239,3431,690
"Yhteensä","Enonkoski","2019",145845,86048,17402,1102,7947,2040,2381,2983,4978,5181,10707,4786,290
"Yhteensä","Enontekiö","2019",208323,115535,15914,1959,44154,2731,6872,3227,4242,5349,3861,3565,914
"Yhteensä","Espoo","2019",20806735,5189199,2013254,6395669,1159183,1817341,731697,422266,361144,1122492,832508,656219,105763
"Yhteensä","Eura","2019",1489066,628348,83660,59677,66287,20237,25280,30506,25349,35114,371546,136133,6929
"Yhteensä","Eurajoki","2019",1172276,501235,52574,10458,61320,19439,26673,16714,23091,23093,347894,81560,8225
"Yhteensä","Evijärvi","2019",263693,152176,16800,3677,11731,3739,7447,6702,5482,9089,38453,7331,1066
"Yhteensä","Finström","2019",239123,145974,11794,7349,15194,1477,10634,5745,8189,10369,17292,3926,1180
"Yhteensä","Forssa","2019",1932425,498958,80500,412458,226788,51247,41108,46701,38232,60880,382487,85681,7385
"Yhteensä","Föglö","2019",55198,39036,2122,319,2500,732,577,2229,1204,292,4539,1397,251
"Yhteensä","Geta","2019",44086,30449,2604,0,5650,243,1618,914,317,2161,46,24,60
"Yhteensä","Haapajärvi","2019",672747,322183,46194,40583,50271,20757,11473,22088,21137,30636,86073,17130,4222
"Yhteensä","Haapavesi","2019",710604,333866,54796,22623,42488,8359,36964,21155,19863,50018,87735,28080,4657
"Yhteensä","Hailuoto","2019",95257,64359,3875,0,9674,672,2772,2316,3383,3571,1602,1398,1635
"Yhteensä","Halsua","2019",135880,76340,8317,0,5696,1963,3069,3174,4529,8101,20066,4311,314
"Yhteensä","Hamina","2019",2208224,837133,168672,233703,92080,49294,49894,46462,44105,60449,272157,348813,5462
"Yhteensä","Hammarland","2019",136821,91244,8699,3230,3289,22,8434,3014,2158,0,10281,5446,1004
"Yhteensä","Hankasalmi","2019",422826,270431,37162,7583,21268,6566,2666,4628,13300,12881,27380,17679,1282
"Yhteensä","Hanko","2019",1139128,368535,59176,170183,68566,28349,56026,17823,18457,33635,225464,84032,8882
"Yhteensä","Harjavalta","2019",879623,295983,73103,88998,45819,18173,28657,55320,22079,26615,165627,58597,652
"Yhteensä","Hartola","2019",353134,165855,25418,20412,23503,5441,12764,9869,7581,9067,59212,13881,131
"Yhteensä","Hattula","2019",837796,482089,68598,47279,35255,11825,20194,15968,17103,20171,48523,68822,1969
"Yhteensä","Hausjärvi","2019",759227,413668,52686,23894,16622,11849,18274,20917,17342,26488,116885,38833,1769
"Yhteensä","Heinola","2019",2180060,625243,130650,383052,183477,39987,35719,41935,54455,69209,489575,120091,6667
"Yhteensä","Heinävesi","2019",371027,190746,27398,22614,27033,11092,8794,8024,14714,11396,41136,7898,182
"Yhteensä","Helsinki","2019",50426530,3842383,2297156,24174245,2249022,5951821,2357407,1403575,1310280,2098859,3182136,1237753,321893
"Yhteensä","Hirvensalmi","2019",239860,142881,25473,4342,8210,5434,2536,3646,3369,8137,27603,7057,1172
"Yhteensä","Hollola","2019",2028032,1001616,163333,233240,81669,26459,41753,29990,24564,58420,306577,50796,9615
"Yhteensä","Honkajoki","2019",217983,105694,13120,3471,9819,2500,11251,5093,5257,6563,37218,17440,557
"Yhteensä","Huittinen","2019",1171460,526548,82144,75033,96267,27085,48031,37878,34721,34869,146217,59037,3630
"Yhteensä","Humppila","2019",263700,126048,9813,16476,23986,2994,11151,9685,3571,4775,38603,11409,5189
"Yhteensä","Hyrynsalmi","2019",249204,135850,24569,8882,16963,7356,4715,6613,5483,11494,14068,11125,2086
"Yhteensä","Hyvinkää","2019",3946172,1167621,336504,953118,285077,107124,91834,112540,45081,128488,361548,345815,11422
"Yhteensä","Hämeenkyrö","2019",924488,504577,64713,58137,49355,8901,15701,18061,17868,48940,106612,24747,6876
"Yhteensä","Hämeenlinna","2019",6194604,2018323,532728,1280169,450275,176738,118519,224871,131129,254953,689909,293119,23871
"Yhteensä","Ii","2019",764591,478556,61487,9869,32899,14885,20121,15741,17090,29128,68414,14993,1408
"Yhteensä","Iisalmi","2019",2081883,756757,114740,361815,194808,52192,62493,69297,42390,77581,269902,73820,6088
"Yhteensä","Iitti","2019",685213,347545,63286,44388,32117,4232,15305,15044,21935,17645,104792,15777,3147
"Yhteensä","Ikaalinen","2019",795962,373729,44808,63416,75462,20564,15910,42475,13937,36396,83857,22022,3386
"Yhteensä","Ilmajoki","2019",1105322,635046,79096,26614,52482,17836,33392,22259,28842,43922,116353,45771,3709
