ID	Description	Indicator	Responsible parties
A1	Develop list of carbon offset opportunities taking into account the key considerations set out in Key Considerations for Carbon Offsetting.	Initial list produced and published	Newcastle City Council
A2	Ensure that representatives on the Tyne and Wear Pensions Fund continue to lobby for further disinvestment in fossil fuels.	Commitment and agreed actions from Tyne and Wear Pension Fund	Newcastle City Council and Tyne and Wear Pensions Fund
A3	Explore whether a city-scale carbon insetting programme would be suitable for Newcastle, and gauge interest from local organisations, businesses and residents.	Feasibility study conducted and published	Newcastle City Council
A4	Further develop Key Performance Indicators and Local Metrics of Performance.	Initial list produced and published	Newcastle City Council, Newcastle University and Northumbria University
A5	Continue to engage with all members of the city through the Climate Change Convention. Hold additional Climate Change Summits, including a Youth Summit.	Climate Change Summits held	Newcastle City Council
A6	Improve over time local emission monitoring (either directly or via indicators) to improve the accuracy of Newcastle's emissions inventory.	Improvements to be logged via the CDP emission disclosure platform	Newcastle City Council, Newcastle University and Northumbria University
A7	Promote and encourage uptake of the Net Zero Pledge and associated local low carbon action by city residents and businesses.	Number of Net Zero Pledges by category (individual, young people and businesses)	Newcastle City Council and all city residents, young people and businesses
A8	Prepare for and seek to implement as many Net Zero projects as possible by COP-26 in November 2021 to demonstrate Newcastle's climate leadership.	Number of priority actions completed by COP26 in November 2021	All responsible parties
A9	Continue to engage at local, regional, national and international forums to learn lessons, access funding and deliver resources to key Net Zero actions.	Continuous action - no defined performance indicator	All responsible parties
A10	Engage with local and regional businesses and business forums on Green Growth and how best to maximise the benefits to the city.	Local business engagement analysis and potentially output from NELEP (or alternative) low carbon sector studies	Newcastle City Council, North of Tyne Combined Authority, North East Local Enterprise Partnership, Newcastle Gateshead Initiative / Invest Newcastle, NE1, among others
A11	Engage in and promote new forums and routes for research, development, innovation and pilot programmes in the low carbon sector across the city.	Secured low carbon research funding	Newcastle City Council, Newcastle University, Northumbria University, local businesses, among others
A12	Work with city higher education providers and education partners to prepare for, and support, a low carbon skills transition.	Number of training programmes, training providers and courses run in low carbon skills and potentially output from skills analysis conducted as part of NELEP (or alternative) low carbon sector studies	Newcastle College Group, Newcastle University, Northumbria University, North of Tyne Combined Authority, Newcastle City Council and local training and skills providers
A13	Provide business support to SMEs in the city through a Green Growth delivery strand of the Business and IP Centre (BIPC) Newcastle.	Establishment of Green Growth delivery strand and establishment of provision of service	Newcastle City Council, North of Tyne Combined Authority, North East Local Enterprise Partnership, Newcastle Gateshead Initiative / Invest Newcastle, NE1, among others
A14	Actively promote climate change action, learning, research, idea generation and leadership through the Students in Newcastle Forum (SiNF).	Initial engagement and feedback from SiNF, and established ongoing programme of engagement	Newcastle University, Northumbria University and Newcastle City Council
A15	Each January, prepare an annual update for the previous year, and a concise forward plan for the next year of actions taken through the Net Zero Newcastle programme.	Annual update prepared and published	Newcastle City Council (with input from city partners)
A16	Monitor, prepare for and submit grant and other funding applications to deliver on the city's Net Zero commitment, with an immediate priority to stimulate economic growth and job retention and creation.	Secured grant and other funding	Newcastle City Council, Newcastle University, Northumbria University, Newcastle upon Tyne Hospitals NHS Foundation Trust, local businesses, among others
A17	Support city partners in making successful applications for grant, research and other funding.	Secured low carbon research funding	Newcastle City Council, Newcastle University, Northumbria University, local businesses, among others
A18	Look beyond grant funding by working with public and private sector partners to develop pathways to commercial deployment and mass roll-out of low carbon measures.	Establish business cases for investment-grade low carbon interventions and identificaiton of routes to non-grant funded commercial deployment	All responsible parties
A19	Working with the Youth Democracy Group (formerly the Youth Council), a Climate Change Youth Summit will be arranged.	Climate Change Youth Summit held	Newcastle City Council
A20	Explore opportunities to engage with school age children on Climate Change issues and solutions through the curriculum, by providing hands on Net Zero project ideas and supporting in their delivery.	Iniital delivery programme prepared and published	Newcastle City Council and local schools
A21	A Net Zero Champions approach to communicating key messages will be considered by the Citizen's Assembly.	Feedback from Citizen's Assembly	Citizen's Assembly / North of Tyne Combined Authority
A22	Work with trade unions, city-wide businesses and employers and business forums to support the transition to a low carbon / green economy in the city.	Local business engagement analysis and potentially output from NELEP (or alternative) low carbon sector studies	Newcastle City Council, trade unions, city-wide businesses and employers and business forums
