"year","emission","energy_use","emission_factor","sector","level5","municipality","päästökauppa"
2005,3543.548,13319.444,0.266043237240233,"Öljylämmitys",NA,NA,NA
2006,3497.715,13147.23,0.266041972339421,"Öljylämmitys",NA,NA,NA
2007,3339.597,12552.797,0.266044053767459,"Öljylämmitys",NA,NA,NA
2008,2651.083,9965.544,0.26602491544867,"Öljylämmitys",NA,NA,NA
2009,2721.336,10437.492,0.26072700223387,"Öljylämmitys",NA,NA,NA
2010,2978.437,11540.835,0.258078119997383,"Öljylämmitys",NA,NA,NA
2011,2338.4,9154.998,0.25542332177462,"Öljylämmitys",NA,NA,NA
2012,2588.647,9929.177,0.26071113446764,"Öljylämmitys",NA,NA,NA
2013,2266.589,8681.099,0.261094707018086,"Öljylämmitys",NA,NA,NA
2014,2245.025,8540.032,0.262882504421529,"Öljylämmitys",NA,NA,NA
2015,2043.476,7720.834,0.264670371102396,"Öljylämmitys",NA,NA,NA
2016,2197.107,8259.984,0.265994098777915,"Öljylämmitys",NA,NA,NA
2017,2127.257,7997.521,0.265989548511345,"Öljylämmitys",NA,NA,NA
2018,2040.176,7670.302,0.265983790468746,"Öljylämmitys",NA,NA,NA
2005,11761.754,69171.31,0.170038040337822,"Kulutussähkö",NA,NA,NA
2006,21028.272,74103.223,0.283770005523242,"Kulutussähkö",NA,NA,NA
2007,18435.05,74134.687,0.248669694929716,"Kulutussähkö",NA,NA,NA
2008,13656.216,70986.701,0.192377104550893,"Kulutussähkö",NA,NA,NA
2009,13204.383,65302.108,0.202204544453603,"Kulutussähkö",NA,NA,NA
2010,17204.616,70660.859,0.243481557448941,"Kulutussähkö",NA,NA,NA
2011,13226.855,68329.434,0.193574777745122,"Kulutussähkö",NA,NA,NA
2012,9364.422,68567.996,0.136571324032862,"Kulutussähkö",NA,NA,NA
2013,11450.518,68128.163,0.168073194634648,"Kulutussähkö",NA,NA,NA
2014,9600.834,67488.67,0.14225845612308,"Kulutussähkö",NA,NA,NA
2015,7499.96,67236.817,0.11154543499583,"Kulutussähkö",NA,NA,NA
2016,8068.829,69029.385,0.116889770928714,"Kulutussähkö",NA,NA,NA
2017,7153.051,69223.197,0.103333150013282,"Kulutussähkö",NA,NA,NA
2018,8164.338,70609.208,0.115627100646703,"Kulutussähkö",NA,NA,NA
2005,2248.354,11900.753,0.188925356235862,"Sähkölämmitys",NA,NA,NA
2006,3248.868,12207.34,0.266140535120673,"Sähkölämmitys",NA,NA,NA
2007,3302.15,12370.528,0.266936868014041,"Sähkölämmitys",NA,NA,NA
2008,2406.128,12128.933,0.198379197906362,"Sähkölämmitys",NA,NA,NA
2009,2777.769,12669.065,0.219256038231708,"Sähkölämmitys",NA,NA,NA
2010,3653.996,13485.524,0.270956916468355,"Sähkölämmitys",NA,NA,NA
2011,2885.69,12591.592,0.229175945345116,"Sähkölämmitys",NA,NA,NA
2012,2063.851,13076.703,0.157826556128101,"Sähkölämmitys",NA,NA,NA
2013,2392.013,12765.249,0.1873847505834,"Sähkölämmitys",NA,NA,NA
2014,1827.641,12474.019,0.146515810181145,"Sähkölämmitys",NA,NA,NA
2015,1535.344,12222.221,0.125619067107361,"Sähkölämmitys",NA,NA,NA
2016,1757.286,12842.73,0.136831187761481,"Sähkölämmitys",NA,NA,NA
2017,1495.441,12855.672,0.116325385401868,"Sähkölämmitys",NA,NA,NA
2018,1663.982,12893.671,0.129054169289724,"Sähkölämmitys",NA,NA,NA
NA,6418.47,205120.242,0.0312912559843801,"Kulutussähkö","Asuminen",NA,NA
NA,171.917,24595.863,0.00698967139311192,"Kulutussähkö","Maatalous",NA,NA
NA,358.221,11447.512,0.0312924764787318,"Kulutussähkö","Palvelut",NA,NA
NA,55.111,7885.031,0.00698931938251099,"Kulutussähkö","Teollisuus",NA,NA
2005,1.784,20.14,0.0885799404170804,"Kaukolämpö",NA,"Äänekoski","Ei"
2005,11.313,24.399,0.463666543710808,"Kaukolämpö",NA,"Ähtäri","Ei"
2005,8.462,38.77,0.218261542429714,"Kaukolämpö",NA,"Akaa","Ei"
2005,5.812,17,0.341882352941176,"Kaukolämpö",NA,"Alajärvi","Ei"
2005,0.693,2.8,0.2475,"Kaukolämpö",NA,"Alavieska","Ei"
2005,9.799,30.509,0.321183912943722,"Kaukolämpö",NA,"Alavus","Ei"
2005,5.083,25.722,0.19761293834072,"Kaukolämpö",NA,"Asikkala","Ei"
2005,0.119,0.633,0.187993680884676,"Kaukolämpö",NA,"Askola","Ei"
2005,0.731,3.556,0.205568053993251,"Kaukolämpö",NA,"Aura","Ei"
2005,0.019,0.102,0.186274509803922,"Kaukolämpö",NA,"Brändö","Ei"
2005,0.357,4.633,0.0770559033023959,"Kaukolämpö",NA,"Enonkoski","Ei"
2005,0.301,1.605,0.187538940809969,"Kaukolämpö",NA,"Enontekiö","Ei"
