"exposure_agent","response","exposure","er_function","scaling","exposure_unit","observation","source","result","age","hepatitis"
"Indoor radon","Lung cancer morbidity","Annual average indoor air concentration","RR","None","Bq /m3","Threshold","ERF_envData",0,NA,NA
"Indoor radon","Lung cancer morbidity","Annual average indoor air concentration","RR","None","Bq /m3","ERF","ERF_envData",1.0016,NA,NA
"PM2.5","Lung cancer mortality","Annual average outdoor air concentration","RR","None","µg /m3","Threshold","ERF_envData",0,NA,NA
"PM2.5","Lung cancer mortality","Annual average outdoor air concentration","RR","None","µg /m3","ERF","ERF_envData",1.014,NA,NA
"PM2.5","Cardiopulmonary mortality","Annual average outdoor concentration","RR","None","µg /m3","Threshold","ERF_envData",0,NA,NA
"PM2.5","Cardiopulmonary mortality","Annual average outdoor concentration","RR","None","µg /m3","ERF","ERF_envData",1.009,NA,NA
"PM2.5","Total mortality","Annual average outdoor air concentration","RR","None","µg /m3","Threshold","ERF_envData",0,NA,NA
"PM2.5","Total mortality","Annual average outdoor air concentration","RR","None","µg /m3","ERF","ERF_envData",1.0062,NA,NA
"Chlorination byproducts","Bladder cancer morbidity","Concentration in ingested water","RR","None","µg /l","Threshold","ERF_envData",0,NA,NA
"Chlorination byproducts","Bladder cancer morbidity","Concentration in ingested water","RR","None","µg /l","ERF","ERF_envData",1.0039,NA,NA
"Chlorination byproducts","Bladder cancer morbidity","Concentration in ingested water","RR","None","netrev /l","Threshold","ERF_envData",0,NA,NA
"Chlorination byproducts","Bladder cancer morbidity","Concentration in ingested water","RR","None","netrev /l","ERF","ERF_envData",1.000029,NA,NA
"Arsenic","Bladder cancer morbidity","Concentration in ingested water","RR","None","µg /l","Threshold","ERF_envData",0,NA,NA
"Arsenic","Bladder cancer morbidity","Concentration in ingested water","RR","None","µg /l","ERF","ERF_envData",1.002,NA,NA
"Formaldehyde","Asthma morbidity","Annual average indoor concentration","RR","None","µg /m3","Threshold","ERF_envData",0,"<14",NA
"Formaldehyde","Asthma morbidity","Annual average indoor concentration","RR","None","µg /m3","ERF","ERF_envData",1.0140743178,"<14",NA
"Formaldehyde","Asthma morbidity","Annual average indoor concentration","RR","None","µg /m3","Threshold","ERF_envData",0,">=14",NA
"Formaldehyde","Asthma morbidity","Annual average indoor concentration","RR","None","µg /m3","ERF","ERF_envData",1,">=14",NA
"Dampness damage","Asthma morbidity","Yes/no moisture damage","RR","None","%","Threshold","ERF_envData",0,NA,NA
"Dampness damage","Asthma morbidity","Yes/no moisture damage","RR","None","%","ERF","ERF_envData",1.37,NA,NA
"Dampness damage","Lower respiratory symptoms morbidity","Yes/no moisture damage","RR","None","%","Threshold","ERF_envData",0,NA,NA
"Dampness damage","Lower respiratory symptoms morbidity","Yes/no moisture damage","RR","None","%","ERF","ERF_envData",1.5,NA,NA
"Dampness damage","Upper respiratory symptoms morbidity","Yes/no moisture damage","RR","None","%","Threshold","ERF_envData",0,NA,NA
