"municipality","place","mode","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Akaa","street","private car",38.699,38.276,38.256,37.16,36.795,36.094,35.343,34.306,34.193,34.224,33.383,32.586,30.9,30.29
"Akaa","street","van",4.192,4.252,4.322,4.332,4.388,4.429,4.401,4.356,4.368,4.43,4.52,4.472,4.354,4.331
"Akaa","street","bus",0.679,0.684,0.684,0.701,0.708,0.715,0.715,0.713,0.722,0.728,0.751,0.717,0.701,0.669
"Akaa","street","truck",1.877,1.904,1.959,2.02,1.95,2.046,2.119,2.159,2.203,2.253,2.335,2.387,1.461,1.552
"Akaa","road","private car",111.396,112.157,114.129,112.881,113.829,113.728,113.444,112.192,113.952,116.245,115.582,116.103,117.64,119.698
"Akaa","road","van",13.021,13.346,13.71,13.889,14.22,14.51,14.576,14.583,14.784,15.161,15.642,15.712,16.27,16.757
"Akaa","road","bus",1.213,1.208,1.199,1.221,1.227,1.23,1.226,1.221,1.235,1.244,1.272,1.33,1.311,1.423
"Akaa","road","truck",8.651,8.821,9.084,9.179,8.42,8.777,8.948,8.929,9.011,9.015,9.053,9.333,9.587,10.411
"Akaa","street and road","motorcycle",1.801,1.984,2.163,2.278,2.309,2.4,2.561,2.628,2.669,2.695,2.666,2.708,2.716,2.664
"Akaa","street and road","moped",0.575,0.662,0.759,0.826,0.86,0.908,0.984,1.001,0.981,0.958,0.89,0.836,0.786,0.735
"Akaa","street and road","microcar",0.165,0.19,0.218,0.237,0.247,0.26,0.282,0.287,0.281,0.275,0.255,0.246,0.245,0.215
"Alajärvi","street","private car",22.72,22.472,22.46,21.817,21.603,21.191,20.75,20.141,20.075,20.093,19.599,19.061,18.114,17.688
"Alajärvi","street","van",2.461,2.496,2.537,2.543,2.576,2.6,2.584,2.557,2.564,2.601,2.654,2.616,2.552,2.529
"Alajärvi","street","bus",0.401,0.404,0.404,0.414,0.418,0.422,0.422,0.421,0.426,0.43,0.443,0.421,0.413,0.392
"Alajärvi","street","truck",1.103,1.119,1.151,1.187,1.146,1.202,1.245,1.269,1.295,1.324,1.372,1.398,0.857,0.908
"Alajärvi","road","private car",73.62,74.123,75.426,74.601,75.227,75.161,74.973,74.145,75.309,76.824,76.386,77.071,78.201,78.466
"Alajärvi","road","van",8.605,8.82,9.061,9.179,9.398,9.589,9.633,9.638,9.771,10.02,10.337,10.43,10.816,10.985
"Alajärvi","road","bus",1.308,1.302,1.293,1.317,1.323,1.326,1.322,1.317,1.331,1.341,1.371,1.437,1.468,1.383
"Alajärvi","road","truck",7.396,7.542,7.767,7.848,7.199,7.505,7.65,7.634,7.705,7.707,7.74,7.963,8.257,8.057
"Alajärvi","street and road","motorcycle",1.058,1.165,1.27,1.337,1.355,1.409,1.504,1.543,1.567,1.582,1.565,1.584,1.592,1.555
"Alajärvi","street and road","moped",0.338,0.389,0.446,0.485,0.505,0.533,0.578,0.588,0.576,0.562,0.522,0.489,0.461,0.429
"Alajärvi","street and road","microcar",0.097,0.111,0.128,0.139,0.145,0.153,0.166,0.169,0.165,0.161,0.15,0.144,0.144,0.125
"Alavieska","street","private car",6.288,6.219,6.216,6.038,5.979,5.865,5.743,5.574,5.556,5.561,5.424,5.257,4.886,4.78
"Alavieska","street","van",0.659,0.669,0.68,0.681,0.69,0.696,0.692,0.685,0.687,0.697,0.711,0.689,0.64,0.626
"Alavieska","street","bus",0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004
"Alavieska","street","truck",0.26,0.264,0.272,0.28,0.27,0.284,0.294,0.299,0.305,0.312,0.324,0.314,0.291,0.251
"Alavieska","road","private car",23.495,23.655,24.071,23.808,24.008,23.987,23.927,23.662,24.034,24.517,24.378,24.554,25.117,25.197
"Alavieska","road","van",2.746,2.815,2.892,2.929,2.999,3.06,3.074,3.076,3.118,3.198,3.299,3.323,3.474,3.527
"Alavieska","road","bus",0.329,0.328,0.325,0.331,0.333,0.334,0.333,0.331,0.335,0.338,0.345,0.342,0.338,0.341
"Alavieska","road","truck",1.816,1.852,1.907,1.927,1.767,1.842,1.878,1.874,1.892,1.892,1.9,1.933,1.93,2.053
"Alavieska","street and road","motorcycle",0.284,0.313,0.341,0.359,0.364,0.378,0.404,0.414,0.421,0.425,0.42,0.422,0.423,0.413
"Alavieska","street and road","moped",0.091,0.104,0.12,0.13,0.136,0.143,0.155,0.158,0.155,0.151,0.14,0.13,0.122,0.114
"Alavieska","street and road","microcar",0.026,0.03,0.034,0.037,0.039,0.041,0.044,0.045,0.044,0.043,0.04,0.038,0.038,0.033
"Alavus","street","private car",27.348,27.049,27.035,26.26,26.003,25.507,24.976,24.243,24.164,24.186,23.591,22.928,21.59,21.05
"Alavus","street","van",2.963,3.005,3.054,3.061,3.101,3.13,3.11,3.078,3.087,3.131,3.194,3.146,3.042,3.01
"Alavus","street","bus",0.482,0.486,0.485,0.498,0.503,0.508,0.508,0.507,0.513,0.517,0.533,0.506,0.491,0.466
"Alavus","street","truck",1.327,1.346,1.386,1.429,1.379,1.447,1.498,1.527,1.558,1.593,1.651,1.681,1.022,1.08
"Alavus","road","private car",108.574,109.315,111.237,110.021,110.944,110.846,110.569,109.349,111.065,113.3,112.654,112.563,113.04,111.552
"Alavus","road","van",12.691,13.008,13.363,13.537,13.86,14.142,14.207,14.214,14.41,14.777,15.246,15.233,15.634,15.616
"Alavus","road","bus",1.456,1.449,1.439,1.465,1.473,1.476,1.471,1.465,1.482,1.493,1.526,1.65,1.577,1.523
"Alavus","road","truck",7.901,8.057,8.296,8.383,7.69,8.016,8.172,8.155,8.23,8.233,8.268,8.707,8.499,8.566
"Alavus","street and road","motorcycle",1.273,1.402,1.529,1.609,1.631,1.696,1.81,1.857,1.886,1.904,1.884,1.905,1.898,1.851
"Alavus","street and road","moped",0.407,0.468,0.537,0.584,0.607,0.642,0.696,0.708,0.694,0.677,0.629,0.588,0.549,0.511
"Alavus","street and road","microcar",0.117,0.134,0.154,0.167,0.174,0.184,0.199,0.203,0.199,0.194,0.18,0.173,0.171,0.149
"Asikkala","street","private car",19.393,19.181,19.171,18.622,18.439,18.087,17.711,17.191,17.135,17.151,16.729,16.58,15.446,15.139
"Asikkala","street","van",2.033,2.062,2.096,2.1,2.128,2.148,2.134,2.112,2.118,2.148,2.192,2.172,2.024,1.984
"Asikkala","street","bus",0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.014,0.013,0.012,0.012
"Asikkala","street","truck",0.802,0.814,0.838,0.864,0.834,0.875,0.906,0.923,0.942,0.963,0.998,0.989,0.921,0.796
"Asikkala","road","private car",78.803,79.341,80.736,79.853,80.524,80.453,80.252,79.366,80.611,82.233,81.764,77.99,77.715,75.534
"Asikkala","road","van",9.211,9.441,9.699,9.825,10.06,10.265,10.311,10.316,10.459,10.725,11.065,10.555,10.748,10.574
"Asikkala","road","bus",0.952,0.947,0.941,0.958,0.963,0.965,0.962,0.958,0.969,0.976,0.998,1.073,1.034,0.964
"Asikkala","road","truck",4.172,4.255,4.381,4.427,4.061,4.234,4.316,4.307,4.346,4.348,4.366,4.645,4.632,4.54
"Asikkala","street and road","motorcycle",0.876,0.965,1.052,1.107,1.123,1.167,1.245,1.278,1.298,1.31,1.296,1.332,1.336,1.307
"Asikkala","street and road","moped",0.28,0.322,0.369,0.402,0.418,0.441,0.479,0.487,0.477,0.466,0.433,0.411,0.386,0.361
"Asikkala","street and road","microcar",0.08,0.092,0.106,0.115,0.12,0.127,0.137,0.14,0.137,0.134,0.124,0.121,0.12,0.105
"Askola","street","private car",11.944,11.814,11.808,11.469,11.357,11.14,10.908,10.588,10.554,10.563,10.303,10.052,9.351,9.211
"Askola","street","van",1.252,1.27,1.291,1.294,1.31,1.323,1.315,1.301,1.305,1.323,1.35,1.317,1.225,1.207
"Askola","street","bus",0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007
"Askola","street","truck",0.494,0.501,0.516,0.532,0.513,0.538,0.558,0.568,0.58,0.593,0.614,0.6,0.558,0.484
"Askola","road","private car",30.714,30.924,31.467,31.123,31.385,31.357,31.278,30.933,31.419,32.051,31.868,31.969,31.148,30.656
"Askola","road","van",3.59,3.68,3.78,3.829,3.921,4.001,4.019,4.021,4.076,4.18,4.313,4.326,4.308,4.292
"Askola","road","bus",0.441,0.439,0.436,0.444,0.446,0.448,0.446,0.444,0.449,0.453,0.463,0.467,0.462,0.45
"Askola","road","truck",2.221,2.265,2.332,2.356,2.162,2.253,2.297,2.292,2.313,2.314,2.324,2.359,2.388,2.358
